2023-12-10 01:08:28,339: Executor: process, n_jobs: 15, Result: 1.0007851925466296, Time: 0.009238719940185547
2023-12-10 01:08:28,349: Executor: thread, n_jobs: 16, Result: 1.0007851925466296, Time: 0.010658502578735352
2023-12-10 01:08:28,361: Executor: process, n_jobs: 16, Result: 1.0007851925466296, Time: 0.011605978012084961
2023-12-10 01:08:54,230: Executor: thread, n_jobs: 1, Result: 1.0000785377601717, Time: 0.001220703125
2023-12-10 01:08:54,231: Executor: process, n_jobs: 1, Result: 1.0000785377601717, Time: 0.0011899471282958984
2023-12-10 01:08:54,352: Executor: thread, n_jobs: 2, Result: 1.0000785377601717, Time: 0.12067699432373047
2023-12-10 01:08:54,436: Executor: process, n_jobs: 2, Result: 1.0000785377601717, Time: 0.08376622200012207
2023-12-10 01:08:54,602: Executor: thread, n_jobs: 3, Result: 1.0000785377601717, Time: 0.16556882858276367
2023-12-10 01:08:54,731: Executor: process, n_jobs: 3, Result: 1.0000785377601717, Time: 0.12932205200195312
2023-12-10 01:08:54,835: Executor: thread, n_jobs: 4, Result: 1.0000785377601717, Time: 0.10391831398010254
2023-12-10 01:08:54,926: Executor: process, n_jobs: 4, Result: 1.0000785377601717, Time: 0.09046220779418945
2023-12-10 01:08:55,008: Executor: thread, n_jobs: 5, Result: 1.0000785377601717, Time: 0.08252859115600586
2023-12-10 01:08:55,153: Executor: process, n_jobs: 5, Result: 1.0000785377601717, Time: 0.1444706916809082
2023-12-10 01:08:55,304: Executor: thread, n_jobs: 6, Result: 1.0000785377601717, Time: 0.15079307556152344
2023-12-10 01:08:55,393: Executor: process, n_jobs: 6, Result: 1.0000785377601717, Time: 0.08899426460266113
2023-12-10 01:08:55,531: Executor: thread, n_jobs: 7, Result: 1.0000785377601717, Time: 0.13771915435791016
2023-12-10 01:08:55,710: Executor: process, n_jobs: 7, Result: 1.0000785377601717, Time: 0.17876195907592773
2023-12-10 01:08:55,830: Executor: thread, n_jobs: 8, Result: 1.0000785377601717, Time: 0.11972761154174805
2023-12-10 01:08:55,926: Executor: process, n_jobs: 8, Result: 1.0000785377601717, Time: 0.0958096981048584
2023-12-10 01:08:56,011: Executor: thread, n_jobs: 9, Result: 1.0000785377601717, Time: 0.08519387245178223
2023-12-10 01:08:56,112: Executor: process, n_jobs: 9, Result: 1.0000785377601717, Time: 0.10071372985839844
2023-12-10 01:08:56,201: Executor: thread, n_jobs: 10, Result: 1.0000785377601717, Time: 0.08923029899597168
2023-12-10 01:08:56,285: Executor: process, n_jobs: 10, Result: 1.0000785377601717, Time: 0.0836951732635498
2023-12-10 01:08:56,368: Executor: thread, n_jobs: 11, Result: 1.0000785377601717, Time: 0.08288955688476562
2023-12-10 01:08:56,492: Executor: process, n_jobs: 11, Result: 1.0000785377601717, Time: 0.12447977066040039
2023-12-10 01:08:56,677: Executor: thread, n_jobs: 12, Result: 1.0000785377601717, Time: 0.1844007968902588
2023-12-10 01:08:56,767: Executor: process, n_jobs: 12, Result: 1.0000785377601717, Time: 0.09001398086547852
2023-12-10 01:08:56,878: Executor: thread, n_jobs: 13, Result: 1.0000785377601717, Time: 0.11115622520446777
